epoch,stage,stage_epoch,train_loss,train_accuracy,val_loss,val_accuracy,lr_backbone,lr_head
1,linear_probe,1,1.3074,72.79,1.0653,80.67,0.0,0.003
2,linear_probe,2,1.0087,80.58,0.9787,82.72,0.0,0.003
3,linear_probe,3,0.9841,81.63,0.9714,82.57,0.0,0.00015
4,full_finetune,1,0.7768,90.32,0.6578,95.33,0.0003,0.003
5,full_finetune,2,0.6445,95.15,0.5946,96.64,0.0003,0.003
6,full_finetune,3,0.6085,95.98,0.5838,97.14,0.00028915,0.00289153
7,full_finetune,4,0.5953,96.38,0.566,97.73,0.00025826,0.00258263
8,full_finetune,5,0.5806,96.97,0.5552,98.22,0.00021203,0.00212032
9,full_finetune,6,0.5731,97.31,0.5574,97.88,0.0001575,0.001575
10,full_finetune,7,0.5652,97.65,0.5527,98.0,0.00010297,0.00102968
11,full_finetune,8,0.563,97.6,0.5506,98.07,5.674e-05,0.00056737
12,full_finetune,9,0.56,97.79,0.5497,98.12,2.585e-05,0.00025847
